iter	Passed	Remaining
0	13	13468
1	25	12834
2	38	12683
3	51	12817
4	71	14271
5	90	15026
6	104	14867
7	118	14670
8	131	14497
9	145	14365
10	159	14324
11	171	14124
12	183	13929
13	195	13752
14	207	13626
15	219	13497
16	231	13399
17	244	13325
18	257	13276
19	268	13170
20	280	13093
21	293	13032
22	305	12958
23	318	12939
24	330	12894
25	343	12850
26	355	12813
27	368	12804
28	380	12756
29	393	12729
30	405	12661
31	417	12628
32	429	12588
33	441	12532
34	453	12498
35	466	12480
36	478	12455
37	490	12426
38	506	12475
39	519	12462
40	532	12452
41	545	12442
42	558	12422
43	570	12393
44	582	12368
45	594	12337
46	607	12326
47	620	12306
48	632	12283
49	645	12262
50	658	12250
51	671	12233
52	683	12207
53	696	12197
54	709	12182
55	721	12164
56	734	12145
57	746	12126
58	758	12101
59	771	12091
60	783	12063
61	795	12041
62	808	12018
63	819	11991
64	832	11973
65	844	11952
66	856	11927
67	868	11909
68	881	11888
69	893	11876
70	907	11869
71	920	11867
72	935	11877
73	949	11884
74	963	11887
75	978	11893
76	992	11901
77	1007	11903
78	1021	11910
79	1035	11909
80	1049	11906
81	1062	11899
82	1076	11895
83	1091	11898
84	1104	11889
85	1117	11880
86	1132	11879
87	1146	11878
88	1160	11878
89	1173	11868
90	1188	11871
91	1203	11876
92	1217	11875
93	1231	11868
94	1246	11874
95	1260	11874
96	1274	11863
97	1286	11840
98	1298	11814
99	1310	11794
100	1322	11771
101	1335	11753
102	1347	11734
103	1359	11712
104	1371	11689
105	1383	11668
106	1395	11648
107	1410	11645
108	1424	11642
109	1439	11645
110	1452	11633
111	1465	11622
112	1480	11620
113	1494	11612
114	1508	11607
115	1522	11598
116	1540	11627
117	1557	11639
118	1571	11635
119	1584	11617
120	1596	11594
121	1608	11575
122	1620	11552
123	1633	11537
124	1645	11520
125	1658	11503
126	1671	11487
127	1683	11468
128	1695	11448
129	1708	11433
130	1720	11412
131	1732	11394
132	1745	11377
133	1757	11357
134	1770	11344
135	1784	11339
136	1798	11330
137	1812	11321
138	1825	11308
139	1839	11297
140	1849	11267
141	1863	11258
142	1877	11250
143	1891	11242
144	1903	11224
145	1915	11204
146	1927	11185
147	1939	11164
148	1950	11142
149	1963	11124
150	1975	11107
151	1987	11090
152	2000	11074
153	2013	11060
154	2026	11046
155	2039	11034
156	2053	11025
157	2066	11012
158	2080	11006
159	2094	10997
160	2107	10981
161	2120	10968
162	2133	10955
163	2147	10944
164	2160	10934
165	2174	10924
166	2187	10911
167	2200	10899
168	2214	10889
169	2227	10873
170	2240	10860
171	2253	10846
172	2265	10831
173	2278	10815
174	2291	10801
175	2303	10785
176	2316	10768
177	2329	10756
178	2342	10743
179	2355	10728
180	2367	10711
181	2380	10697
182	2392	10682
183	2407	10675
184	2420	10664
185	2433	10651
186	2447	10641
187	2461	10630
188	2475	10620
189	2488	10607
190	2501	10595
191	2515	10585
192	2528	10573
193	2542	10563
194	2556	10555
195	2570	10542
196	2583	10530
197	2597	10521
198	2611	10510
199	2625	10502
200	2637	10485
201	2650	10471
202	2662	10454
203	2675	10440
204	2687	10422
205	2699	10405
206	2711	10387
207	2724	10374
208	2737	10359
209	2749	10344
210	2763	10334
211	2778	10326
212	2791	10314
213	2805	10306
214	2819	10295
215	2832	10282
216	2853	10295
217	2872	10305
218	2886	10293
